model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CY14,0.03,p0p030,SA,7,s2,0.3849,0.3849,,CY14_Coeffs,AM7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,s3,0.8,0.8,,CY14_Coeffs,AN7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,"s2,JP",0.4571,0.4571,,CY14_Coeffs,AO7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,gJp-It,1.5544,1.5544,,CY14_Coeffs,AP7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,gWn,0.7642,0.7642,,CY14_Coeffs,AQ7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f1Jp,-0.6314,-0.6314,,CY14_Coeffs,AR7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f5JP,0.462,0.462,,CY14_Coeffs,AS7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.03,p0p030,SA,7,f6JP,800,800,,CY14_Coeffs,AT7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c2,1.06,1.06,,CY14_Coeffs,B8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c4,-2.1,-2.1,,CY14_Coeffs,C8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c4a,-0.5,-0.5,,CY14_Coeffs,D8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,cRB,50,50,,CY14_Coeffs,E8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c8,0,0,,CY14_Coeffs,F8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c8a,0.2695,0.2695,,CY14_Coeffs,G8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c1,-1.1007,-1.1007,,CY14_Coeffs,H8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c1a,0.165,0.165,,CY14_Coeffs,I8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c1b,-0.255,-0.255,,CY14_Coeffs,J8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c1c,-0.165,-0.165,,CY14_Coeffs,K8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c1d,0.255,0.255,,CY14_Coeffs,L8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,cn,16.4556,16.4556,,CY14_Coeffs,M8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,cM,4.9993,4.9993,,CY14_Coeffs,N8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c3,1.9636,1.9636,,CY14_Coeffs,O8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c5,6.4551,6.4551,,CY14_Coeffs,P8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,cHM,3.0988,3.0988,,CY14_Coeffs,Q8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c6,0.5037,0.5037,,CY14_Coeffs,R8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c7,0.0352,0.0352,,CY14_Coeffs,S8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c7b,0.0596,0.0596,,CY14_Coeffs,T8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c8b,1.9456,1.9456,,CY14_Coeffs,U8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c9,0.9661,0.9661,,CY14_Coeffs,V8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c9a,0.1166,0.1166,,CY14_Coeffs,W8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c9b,7.0271,7.0271,,CY14_Coeffs,X8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CY14,0.04,p0p040,SA,8,c11,0,0,,CY14_Coeffs,Y8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
